Designator,Mid X,Mid Y,Rotation,Layer
C1,151.6769,-98.689499,90.0,top
C10,153.423133,-116.594632,90.0,top
C11,131.833133,-146.122099,270.0,top
C12,148.5011,-154.060132,90.0,top
C13,163.1069,-154.218399,90.0,top
C14,135.4819,-72.935832,180.0,top
C15,156.4394,-154.215899,90.0,top
C16,156.4394,-140.563399,270.0,top
C17,134.2144,-154.215899,90.0,top
C18,137.3894,-140.563399,270.0,top
C19,147.073133,-139.137132,90.0,top
C2,145.6444,-98.848232,270.0,top
C20,146.9144,-145.323399,270.0,top
C21,146.9144,-149.768399,270.0,top
C22,159.9344,-134.848399,90.0,top
C23,143.897333,-127.866099,90.0,top
C24,146.124133,-68.332132,270.0,top
C25,156.283133,-121.518399,90.0,top
C26,137.443867,-134.838399,90.0,top
C27,137.0719,-121.674632,90.0,top
C28,142.944833,-115.807099,270.0,top
C29,165.170633,-98.973399,270.0,top
C3,156.598033,-68.779632,270.0,top
C30,149.7711,-86.908599,90.0,top
C31,146.9136,-86.908599,90.0,top
C32,156.913967,-57.386732,270.0,top
C33,140.244567,-95.643866,180.0,top
C34,134.5311,-128.183599,270.0,top
C35,154.2161,-128.337366,270.0,top
C4,164.8531,-68.837166,90.0,top
C5,148.343167,-121.987166,270.0,top
C6,155.6441,-63.899599,90.0,top
C7,140.726333,-68.173399,270.0,top
C8,146.753133,-109.765799,180.0,top
C9,163.580633,-73.094666,180.0,top
D7,162.4693,-58.807066,270.0,top
E1,158.6619,-105.253399,0.0,bottom
E2,138.3419,-105.253399,0.0,bottom
IC6,134.156967,-65.670099,180.0,top
J1,162.7894,-152.704399,0.0,bottom
J10,153.2644,-139.845632,0.0,bottom
J11,143.7394,-139.845632,0.0,bottom
J12,134.2144,-139.845632,0.0,bottom
J2,153.2644,-152.704399,0.0,bottom
J3,143.7394,-152.704399,0.0,bottom
J4,134.2144,-152.704399,0.0,bottom
J5,162.7894,-126.986899,0.0,bottom
J6,153.2644,-126.986899,0.0,bottom
J7,143.7394,-126.986899,0.0,bottom
J8,134.2144,-126.986899,0.0,bottom
J9,162.7894,-139.845632,0.0,bottom
JP1,148.660633,-58.013399,270.0,top
L1,152.945633,-68.789332,270.0,top
PAD1,163.7411,-52.933599,0.0,top
PAD2,133.2611,-52.933599,0.0,top
Q1,157.5119,-117.070899,180.0,top
Q2,158.2244,-101.984666,90.0,top
Q3,137.745633,-101.984666,90.0,top
Q4,139.968133,-117.065899,0.0,top
R1,159.6144,-154.215899,270.0,top
R10,143.7394,-154.215899,90.0,top
R11,143.7394,-140.563399,270.0,top
R12,134.2144,-140.563399,90.0,top
R13,149.930667,-145.323399,90.0,top
R14,149.930667,-149.614632,90.0,top
R15,164.533133,-116.909666,270.0,top
R16,161.5169,-116.909666,270.0,top
R17,158.188133,-108.972132,180.0,top
R18,158.188133,-105.797132,180.0,top
R19,137.7094,-109.130899,180.0,top
R2,159.6144,-140.563399,90.0,top
R20,137.7094,-105.955899,180.0,top
R21,133.420633,-116.912132,90.0,top
R22,136.4369,-116.912132,90.0,top
R23,166.2794,-144.373399,90.0,top
R24,156.598167,-135.009632,90.0,top
R25,166.5969,-129.927132,90.0,top
R26,149.771867,-133.099666,270.0,top
R27,166.2794,-139.928399,90.0,top
R28,159.773133,-121.515899,90.0,top
R29,166.5994,-121.357132,90.0,top
R3,165.9644,-154.215899,90.0,top
R30,149.7694,-128.810899,90.0,top
R31,130.563133,-136.279632,90.0,top
R32,140.405633,-134.850899,90.0,top
R33,130.7219,-129.612132,90.0,top
R34,146.9144,-133.094666,270.0,top
R35,130.563133,-140.724666,90.0,top
R36,140.405667,-121.674632,90.0,top
R37,130.4044,-120.245899,90.0,top
R38,146.9144,-128.808399,90.0,top
R39,148.343133,-103.577066,0.0,top
R4,153.2644,-154.215899,270.0,top
R40,158.0269,-86.590899,90.0,top
R41,144.3736,-86.903599,270.0,top
R42,139.9319,-55.960532,180.0,top
R5,162.7894,-140.563399,270.0,top
R53,139.134833,-80.558599,270.0,top
R6,153.2644,-140.563399,90.0,top
R60,162.634967,-63.897199,180.0,top
R7,137.3894,-154.215899,270.0,top
R8,140.5644,-140.563399,90.0,top
R9,140.5644,-154.215899,90.0,top
RESET0,138.0236,-84.886799,90.0,top
U1,148.1844,-84.889632,90.0,top
U10,138.6594,-128.179632,0.0,top
U11,148.5003,-52.944599,0.0,bottom
U12,135.3636,-81.188599,0.0,top
U2,148.2369,-115.120799,0.0,top
U3,157.868133,-147.547132,0.0,top
U4,138.818133,-147.388399,0.0,top
U5,158.0269,-128.338399,0.0,top
U6,148.223133,-106.588366,180.0,top
U7,160.728067,-68.570899,270.0,top
U8,158.6619,-87.588399,270.0,bottom
U9,138.3419,-87.588399,90.0,bottom
